OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
41,169151715100101,Schuyler,1,RES1,19815,9908,1,900,7,2.96,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
42,169151715800101,Schuyler,4,AGR1,69120,69120,1,9900,7,0,2,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,-118388,DEPTH_ACE02_ILRIVER
43,169151711100201,Schuyler,1,RES1,13239,6620,1,630,7,2.77,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
44,169151711300101,Schuyler,1,RES1,14202,7101,2,1700,4,3.01,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
45,169151713300301,Schuyler,1,RES2,4575,2288,1,1557,7,2.77,5,3.972493,77.862465,69.834953,3560,1600,0,5160,Schuyler County,Schuyler County 4 - ACE 0.2%,6.742493,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
46,169151711300201,Schuyler,1,RES1,19698,9849,1,1400,4,4.48,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
47,169151710700201,Schuyler,1,RES1,21426,10713,2,2600,4,4.04,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
48,169151710700301,Schuyler,1,RES1,14679,7340,1,1770,4,4.55,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
49,169151713300401,Schuyler,1,RES2,75107,37554,1,1464,7,2.55,5,3.504993,75.524963,67.029953,56720,25170,0,81890,Schuyler County,Schuyler County 4 - ACE 0.2%,6.054993,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
50,169151713400101,Schuyler,2,COM3,152288,152288,1,1057,7,-1.17,1,7.912493,27.737478,92,42240,140100,0,182340,Schuyler County,Schuyler County 4 - ACE 0.2%,6.179993,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
51,169151710800101,Schuyler,1,RES1,46335,23168,1,1700,4,3.7,4,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
52,169151710800201,Schuyler,1,RES1,37710,18855,1,1860,4,3.86,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
53,169151710900201,Schuyler,1,RES1,31233,15616,1,1796,4,3.48,1,-0.206257,24.556198,15.381227,7670,2400,0,10070,Schuyler County,Schuyler County 4 - ACE 0.2%,3.273743,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
54,169151712800503,Schuyler,1,RES1,2003,1002,1,748,7,0.82,1,1.391243,26.521185,29.912426,530,300,0,830,Schuyler County,Schuyler County 4 - ACE 0.2%,2.211243,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
55,169151712800501,Schuyler,1,RES1,3631,1816,2,1365,4,2.66,1,-0.042507,18.787462,15.659941,680,280,0,960,Schuyler County,Schuyler County 4 - ACE 0.2%,0.523743,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
